Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
GO_Biological_Process_2023	Negative Regulation Of TOR Signaling (GO:0032007)	1/54	0.0397568742449852	0.0527901195208895	0	0	26.862533692722373	86.63093286520242	ATM	1	54	0.018518518518518517	1.2774473547218295	Negative Regulation Of TOR Signaling	Negative Regulation Of TOR Signaling
GO_Biological_Process_2023	Regulation Of Mitotic Nuclear Division (GO:0007088)	1/56	0.041200627604441	0.0545568750146719	0	0	25.883116883116884	82.54907099640234	CHEK1	1	56	0.017857142857142856	1.2631505137685872	Regulation Of Mitotic Nuclear Division	Regulation Of Mitotic Nuclear Division
GO_Biological_Process_2023	Positive Regulation Of Interleukin-1 Beta Production (GO:0032731)	1/57	0.0419217443178537	0.0553596733183712	0	0	25.419642857142858	80.62985215473387	CASP8	1	57	0.017543859649122806	1.2568064813483963	Positive Regulation Of Interleukin-1 Beta Production	"Positive Regulation Of Interleukin-1 Beta
Production"
GO_Biological_Process_2023	Peptidyl-Threonine Phosphorylation (GO:0018107)	1/58	0.0426423548276304	0.0560044006183048	0	0	24.972431077694235	78.78570447797571	CHEK1	1	58	0.017241379310344827	1.2517778464016804	Peptidyl-Threonine Phosphorylation	Peptidyl-Threonine Phosphorylation
GO_Biological_Process_2023	Selective Autophagy (GO:0061912)	1/58	0.0426423548276304	0.0560044006183048	0	0	24.972431077694235	78.78570447797571	ATM	1	58	0.017241379310344827	1.2517778464016804	Selective Autophagy	Selective Autophagy
GO_Biological_Process_2023	Chordate Embryonic Development (GO:0043009)	1/59	0.0433624594690451	0.0563361333263605	0	0	24.54064039408867	77.0124855419272	BRCA1	1	59	0.01694915254237288	1.2492129644615837	Chordate Embryonic Development	Chordate Embryonic Development
GO_Biological_Process_2023	Positive Regulation Of Proteolysis (GO:0045862)	1/59	0.0433624594690451	0.0563361333263605	0	0	24.54064039408867	77.0124855419272	CASP8	1	59	0.01694915254237288	1.2492129644615837	Positive Regulation Of Proteolysis	Positive Regulation Of Proteolysis
GO_Biological_Process_2023	Regulation Of miRNA Transcription (GO:1902893)	1/59	0.0433624594690451	0.0563361333263605	0	0	24.54064039408867	77.0124855419272	TP53	1	59	0.01694915254237288	1.2492129644615837	Regulation Of miRNA Transcription	Regulation Of miRNA Transcription
GO_Biological_Process_2023	protein-DNA Complex Assembly (GO:0065004)	1/59	0.0433624594690451	0.0563361333263605	0	0	24.54064039408867	77.0124855419272	RAD51	1	59	0.01694915254237288	1.2492129644615837	protein-DNA Complex Assembly	protein-DNA Complex Assembly
GO_Biological_Process_2023	Response To Retinoic Acid (GO:0032526)	1/60	0.0440820585634856	0.0571170758806453	0	0	24.12348668280872	75.30634662640054	ATM	1	60	0.016666666666666666	1.2432340344497872	Response To Retinoic Acid	Response To Retinoic Acid
