Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
GO_Molecular_Function_2023	Protein Homodimerization Activity (GO:0042803)	2/662	0.0864470626401638	0.1130461588371373	0	0	4.504662004662005	11.028417329692996	CHEK2;BAX	2	662	0.0030211480362537764	0.9467441898350002	Protein Homodimerization Activity	Protein Homodimerization Activity
GO_Molecular_Function_2023	Sequence-Specific Double-Stranded DNA Binding (GO:1990837)	2/715	0.0985961186951807	0.1265006805900432	0	0	4.158377386988888	9.633810124842174	BRCA1;TP53	2	715	0.002797202797202797	0.8979071379213247	Sequence-Specific Double-Stranded DNA Binding	Sequence-Specific Double-Stranded DNA Binding
GO_Molecular_Function_2023	Cysteine-Type Peptidase Activity (GO:0008234)	1/144	0.1027568717421913	0.1293975421938705	0	0	9.91108891108891	22.55158813317602	CASP8	1	144	0.006944444444444444	0.8880739726764134	Cysteine-Type Peptidase Activity	Cysteine-Type Peptidase Activity
GO_Molecular_Function_2023	DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific (GO:0001227)	1/243	0.1675901486832898	0.2072023656447946	0	0	5.827331759149941	10.408977368084477	TP53	1	243	0.00411522633744856	0.6836052905261504	DNA-binding Transcription Repressor Activity, RNA Polymerase II-specific	"DNA-binding Transcription Repressor Activity,
RNA Polymerase II-specific"
GO_Molecular_Function_2023	ATP Binding (GO:0005524)	1/279	0.1900615601153532	0.2289433410934382	0	0	5.063463514902364	8.407411574262907	RAD51	1	279	0.0035842293906810036	0.6402719835773465	ATP Binding	ATP Binding
GO_Molecular_Function_2023	mRNA Binding (GO:0003729)	1/282	0.191908388857735	0.2289433410934382	0	0	5.008642602948653	8.267952476807794	TP53	1	282	0.0035460992907801418	0.6402719835773465	mRNA Binding	mRNA Binding
GO_Molecular_Function_2023	Adenyl Ribonucleotide Binding (GO:0032559)	1/309	0.2083538817089734	0.2415262664757292	0	0	4.563311688311688	7.157633285398092	RAD51	1	309	0.003236245954692557	0.6170356319304504	Adenyl Ribonucleotide Binding	Adenyl Ribonucleotide Binding
GO_Molecular_Function_2023	Ubiquitin Protein Ligase Activity (GO:0061630)	1/311	0.2095595547362944	0.2415262664757292	0	0	4.533410138248848	7.084574495046588	MDM2	1	311	0.003215434083601286	0.6170356319304504	Ubiquitin Protein Ligase Activity	Ubiquitin Protein Ligase Activity
GO_Molecular_Function_2023	Ubiquitin-Like Protein Ligase Activity (GO:0061659)	1/319	0.2143651295055344	0.242947146772939	0	0	4.417565139263252	6.803379446237624	MDM2	1	319	0.003134796238244514	0.6144881970251139	Ubiquitin-Like Protein Ligase Activity	Ubiquitin-Like Protein Ligase Activity
GO_Molecular_Function_2023	Endopeptidase Activity (GO:0004175)	1/335	0.2238945847864447	0.2495874059914465	0	0	4.202523524379812	6.289412410385051	CASP8	1	335	0.0029850746268656717	0.6027773326370949	Endopeptidase Activity	Endopeptidase Activity
GO_Molecular_Function_2023	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding (GO:0000977)	2/1225	0.2332745298131713	0.2517883813856452	0	0	2.360148437008617	3.4352887554089246	RB1;TP53	2	1225	0.0016326530612244899	0.5989643140078218	RNA Polymerase II Transcription Regulatory Region Sequence-Specific DNA Binding	"RNA Polymerase II Transcription Regulatory
Region Sequence-Specific DNA Binding"
GO_Molecular_Function_2023	DNA-binding Transcription Activator Activity, RNA Polymerase II-specific (GO:0001228)	1/348	0.2315577131788443	0.2517883813856452	0	0	4.042404281597365	5.913738873958073	TP53	1	348	0.0028735632183908046	0.5989643140078218	DNA-binding Transcription Activator Activity, RNA Polymerase II-specific	"DNA-binding Transcription Activator Activity,
RNA Polymerase II-specific"
GO_Molecular_Function_2023	RNA Binding (GO:0003723)	2/1411	0.2862982452635451	0.3041918855925166	0	0	2.0282797401321178	2.5368124622179966	CDKN2A;BRCA1	2	1411	0.001417434443656981	0.516852375060785	RNA Binding	RNA Binding
GO_Molecular_Function_2023	Purine Ribonucleoside Triphosphate Binding (GO:0035639)	1/476	0.303330577175586	0.3173304499683054	0	0	2.9338345864661655	3.4998653205467556	RAD51	1	476	0.0021008403361344537	0.49848825245454736	Purine Ribonucleoside Triphosphate Binding	Purine Ribonucleoside Triphosphate Binding
GO_Molecular_Function_2023	Double-Stranded DNA Binding (GO:0003690)	1/650	0.3909003001345478	0.4027457637749886	0	0	2.1281091789566364	1.9989387793647613	RAD51	1	650	0.0015384615384615385	0.3949690189505127	Double-Stranded DNA Binding	Double-Stranded DNA Binding
GO_Molecular_Function_2023	Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000987)	1/1098	0.5714172637236452	0.5795106787942251	0	0	1.229847636410991	0.6882664911512608	TP53	1	1098	0.0009107468123861566	0.23693855676910883	Cis-Regulatory Region Sequence-Specific DNA Binding	"Cis-Regulatory Region Sequence-Specific DNA
Binding"
GO_Molecular_Function_2023	RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding (GO:0000978)	1/1122	0.5795106787942251	0.5795106787942251	0	0	1.201988020899707	0.655770033452045	TP53	1	1122	0.00089126559714795	0.23693855676910883	RNA Polymerase II Cis-Regulatory Region Sequence-Specific DNA Binding	"RNA Polymerase II Cis-Regulatory Region
Sequence-Specific DNA Binding"
