Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes	Hit_Count	Bg_Count	Gene_Ratio	minus_log10_fdr	Term_clean	Term_wrapped
KEGG_2021_Human	Human papillomavirus infection	8/331	3.0091396780006374e-11	2.3252442966368563e-10	0	0	69.56921716054843	1685.4382445830577	RB1;CDKN1A;CASP8;MDM2;BAX;ATM;TP53;ATR	8	331	0.02416918429003021	9.633531412190056	Human papillomavirus infection	Human papillomavirus infection
KEGG_2021_Human	Bladder cancer	5/41	8.315408286853779e-11	5.89008086985476e-10	0	0	277.06944444444446	6430.872077287275	RB1;CDKN1A;CDKN2A;MDM2;TP53	5	41	0.12195121951219512	9.229878742379185	Bladder cancer	Bladder cancer
KEGG_2021_Human	Human cytomegalovirus infection	7/225	1.238052471716393e-10	8.094958468914876e-10	0	0	79.34002293577981	1809.92930749756	RB1;CDKN1A;CASP8;CDKN2A;MDM2;BAX;TP53	7	225	0.03111111111111111	9.091785375047404	Human cytomegalovirus infection	Human cytomegalovirus infection
KEGG_2021_Human	Fanconi anemia pathway	5/54	3.4902754552765676e-10	2.1190958121322015e-09	0	0	203.42857142857144	4429.834180604878	RAD51;FANCD2;BRCA1;BRCA2;ATR	5	54	0.09259259259259259	8.673849406791039	Fanconi anemia pathway	Fanconi anemia pathway
KEGG_2021_Human	Breast cancer	6/147	6.742047413825181e-10	3.820493534500935e-09	0	0	93.82505910165484	1981.3494921758584	RB1;CDKN1A;BAX;BRCA1;BRCA2;TP53	6	147	0.04081632653061224	8.417880530945483	Breast cancer	Breast cancer
KEGG_2021_Human	Non-small cell lung cancer	5/72	1.532645689774288e-09	8.142180226925904e-09	0	0	148.6417910447761	3016.873981689202	RB1;CDKN1A;CDKN2A;BAX;TP53	5	72	0.06944444444444445	8.089259288754318	Non-small cell lung cancer	Non-small cell lung cancer
KEGG_2021_Human	Epstein-Barr virus infection	6/202	4.571631638576055e-09	2.2858158192880277e-08	0	0	67.30952380952381	1292.5714176192366	RB1;CDKN1A;CASP8;MDM2;BAX;TP53	6	202	0.0297029702970297	7.640958766018322	Epstein-Barr virus infection	Epstein-Barr virus infection
KEGG_2021_Human	Homologous recombination	4/41	2.040298025249623e-08	9.634740674789888e-08	0	0	196.04914004914005	3471.556783357707	RAD51;ATM;BRCA1;BRCA2	4	41	0.0975609756097561	7.016159970165085	Homologous recombination	Homologous recombination
KEGG_2021_Human	MicroRNAs in cancer	6/310	5.878900512119493e-08	2.630034439632405e-07	0	0	43.16008771929825	718.5857226760606	CDKN1A;CDKN2A;MDM2;ATM;BRCA1;TP53	6	310	0.01935483870967742	6.580038564497169	MicroRNAs in cancer	MicroRNAs in cancer
KEGG_2021_Human	Hepatitis C	5/157	7.880475783382261e-08	3.349202207937461e-07	0	0	65.24013157894737	1067.0866724496643	RB1;CDKN1A;CASP8;BAX;TP53	5	157	0.03184713375796178	6.475058631158137	Hepatitis C	Hepatitis C
KEGG_2021_Human	Hepatitis B	5/162	9.217029096704444e-08	3.730702253427989e-07	0	0	63.146496815286625	1022.9497567801186	RB1;CDKN1A;CASP8;BAX;TP53	5	162	0.030864197530864196	6.428209410528504	Hepatitis B	Hepatitis B
KEGG_2021_Human	Hepatocellular carcinoma	5/168	1.105215862097596e-07	4.2701521944679843e-07	0	0	60.80368098159509	973.9567052385356	RB1;CDKN1A;CDKN2A;BAX;TP53	5	168	0.02976190476190476	6.3695566458087685	Hepatocellular carcinoma	Hepatocellular carcinoma
KEGG_2021_Human	Transcriptional misregulation in cancer	5/192	2.149459145311723e-07	7.811859323689424e-07	0	0	52.93582887700535	812.7173967292807	CDKN1A;MDM2;BAX;ATM;TP53	5	192	0.026041666666666668	6.107245586108135	Transcriptional misregulation in cancer	Transcriptional misregulation in cancer
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	5/193	2.2057014561005435e-07	7.811859323689424e-07	0	0	52.651595744680854	806.9936443477749	RB1;CDKN1A;CASP8;BAX;TP53	5	193	0.025906735751295335	6.107245586108135	Kaposi sarcoma-associated herpesvirus infection	"Kaposi sarcoma-associated herpesvirus
infection"
KEGG_2021_Human	Human immunodeficiency virus 1 infection	5/212	3.515837663479245e-07	1.1953848055829432e-06	0	0	47.772946859903385	709.9450611082411	CASP8;CHEK1;BAX;ATM;ATR	5	212	0.02358490566037736	5.922492268741104	Human immunodeficiency virus 1 infection	Human immunodeficiency virus 1 infection
KEGG_2021_Human	Small cell lung cancer	4/92	5.504543809644667e-07	1.7995623993069105e-06	0	0	82.21900826446281	1184.9832450874162	RB1;CDKN1A;BAX;TP53	4	92	0.043478260869565216	5.744833089714141	Small cell lung cancer	Small cell lung cancer
