Unnamed: 0	essentiality
ACH-000410	0.387575000061196
ACH-000420	0.4226092320952623
ACH-000444	0.37405107957099
ACH-000446	1.8834312592177176
ACH-000456	0.2078204845366366
ACH-000479	0.8267059760927944
ACH-000501	0.161665656029413
ACH-000502	0.2813360597845079
ACH-000546	0.2335434322293806
ACH-000599	0.2573180225145371
ACH-000622	-0.1546944536006458
ACH-000624	0.2772822655208706
ACH-000633	0.1838352281858384
ACH-000682	0.0025201230786116
ACH-000770	0.0801529036370767
ACH-000774	0.6287713449432253
ACH-000790	0.266477784401277
ACH-000793	0.4391854286604936
ACH-000832	0.1551385962559097
ACH-000837	-0.0726085286158656
ACH-000847	0.0395553983545542
ACH-000859	0.2056528322858321
ACH-000862	-0.0171105712225122
ACH-000922	0.6046650285458438
ACH-000937	0.2088159935379401
ACH-000957	0.7113985570739676
ACH-000960	0.8803007806641284
ACH-001126	0.2974820110887571
ACH-001196	-0.2066995794413664
ACH-001205	1.0170922957563582
ACH-001301	0.6796430872513858
ACH-001322	-0.4021918951130521
ACH-001335	0.242567164165339
ACH-001360	0.3406164539802914
ACH-001367	-0.1109617608382588
ACH-001377	1.5004984649491808
ACH-001382	0.0610587879771508
ACH-001390	0.3026427020387821
ACH-001402	0.0187946428144087
ACH-001408	-0.0028046085629611
ACH-001461	0.318298146938117
ACH-001510	0.2869931760427973
ACH-001542	0.0564185649518901
ACH-001557	0.6661245084072368
ACH-001568	0.0435419663577753
ACH-001574	0.9622432520352064
ACH-001634	0.7555031576520066
ACH-001645	1.2153505935271145
ACH-001651	0.3393816674918594
ACH-001669	0.3896416184670746
ACH-001670	-0.0362906097176168
ACH-001673	0.3394248425940573
ACH-001715	-0.4389545951365854
ACH-001740	0.4309575297747161
ACH-001793	1.179974936434816
ACH-001802	1.12827360920988
ACH-001839	1.149377920774501
ACH-001842	-0.0816394843272239
ACH-001856	1.4564296213242711
ACH-001986	1.2226346004306952
ACH-002005	0.2286913563860113
ACH-002023	0.3194060988551711
ACH-002026	0.8120200828311427
ACH-002029	0.0801552093499309
ACH-002116	0.1886924189161175
ACH-002143	0.1473329712445999
ACH-002283	0.5980101119493468
ACH-002524	0.1837288189899097
ACH-002785	0.6049120924244297
ACH-002792	2.139350861899987
ACH-002799	0.5454921561990926
ACH-002928	1.311435867007459
ACH-000005	-0.1494236879256362
ACH-000041	0.200972085269545
ACH-000075	0.7927711907738707
ACH-000078	0.7884393834632264
ACH-000101	0.1424182436245243
ACH-000113	0.9825609216871072
ACH-000127	0.2743483175999052
ACH-000147	0.1830338256705884
ACH-000182	0.1614039788601287
ACH-000210	0.4756711860466507
ACH-000215	0.613656495173545
ACH-000221	0.0328127262594974
ACH-000223	0.2094728975011992
ACH-000233	0.1493229504885348
ACH-000255	0.1476101910984484
ACH-000258	0.2332446427927364
ACH-000288	0.2599866498584963
ACH-000290	0.2368647235351084
ACH-000311	1.280683376482752
ACH-000356	0.4061225254921518
ACH-000365	0.1665869871111917
ACH-000371	0.4253261615142502
ACH-000377	0.1375686368717937
ACH-000389	1.662284188538519
ACH-000405	0.0566289240994357
ACH-000406	-0.0115940244908495
ACH-000427	-0.018533822093896
ACH-000434	0.0004585727025558
ACH-000436	0.7210939216306331
ACH-000445	-0.0863132222711575
ACH-000463	0.9413545495308204
ACH-000481	0.3494805968002015
ACH-000496	-0.0857709557907454
ACH-000541	-0.110299145514259
ACH-000565	0.1456174732302315
ACH-000587	0.3071275102769474
ACH-000651	0.0105215625888048
ACH-000672	0.0157523614076552
ACH-000676	-0.0026501737479983
ACH-000681	1.441421574989809
ACH-000709	0.2335933223760635
ACH-000724	0.2845020813297442
ACH-000735	0.2666639502643621
ACH-000741	0.24431472361713
ACH-000768	0.1769243362649422
ACH-000794	0.0289006175067042
ACH-000800	0.0125163597264192
ACH-000820	0.2689170563605958
ACH-000824	0.2071699948023384
ACH-000831	0.1228759717382088
ACH-000840	0.2161436664548543
ACH-000874	0.436836310522032
ACH-000887	0.2425677189716779
ACH-000890	-0.4770542664269599
ACH-000947	0.6951961064959323
ACH-000972	0.1379593656341463
ACH-000996	-0.0175074796338626
ACH-001033	1.4857164546422597
ACH-001053	0.1625910811040157
ACH-001098	0.1673482191855488
